algorithm,state,action
ExpectedSARSA,0,1
ExpectedSARSA,1,1
ExpectedSARSA,2,1
ExpectedSARSA,3,1
ExpectedSARSA,4,1
ExpectedSARSA,5,1
ExpectedSARSA,6,1
ExpectedSARSA,7,1
ExpectedSARSA,8,1
ExpectedSARSA,9,1
ExpectedSARSA,10,1
ExpectedSARSA,11,2
ExpectedSARSA,12,1
ExpectedSARSA,13,1
ExpectedSARSA,14,1
ExpectedSARSA,15,1
ExpectedSARSA,16,1
ExpectedSARSA,17,1
ExpectedSARSA,18,1
ExpectedSARSA,19,1
ExpectedSARSA,20,1
ExpectedSARSA,21,1
ExpectedSARSA,22,1
ExpectedSARSA,23,2
ExpectedSARSA,24,0
ExpectedSARSA,25,0
ExpectedSARSA,26,0
ExpectedSARSA,27,0
ExpectedSARSA,28,0
ExpectedSARSA,29,0
ExpectedSARSA,30,0
ExpectedSARSA,31,1
ExpectedSARSA,32,1
ExpectedSARSA,33,1
ExpectedSARSA,34,1
ExpectedSARSA,35,2
ExpectedSARSA,36,0
ExpectedSARSA,37,0
ExpectedSARSA,38,0
ExpectedSARSA,39,0
ExpectedSARSA,40,0
ExpectedSARSA,41,0
ExpectedSARSA,42,0
ExpectedSARSA,43,0
ExpectedSARSA,44,0
ExpectedSARSA,45,0
ExpectedSARSA,46,0
ExpectedSARSA,47,0
