algorithm,state,action
MonteCarloControl,0,3
MonteCarloControl,1,2
MonteCarloControl,2,3
MonteCarloControl,3,0
MonteCarloControl,4,2
MonteCarloControl,5,1
MonteCarloControl,6,1
MonteCarloControl,7,2
MonteCarloControl,8,3
MonteCarloControl,9,1
MonteCarloControl,10,3
MonteCarloControl,11,2
MonteCarloControl,12,2
MonteCarloControl,13,1
MonteCarloControl,14,2
MonteCarloControl,15,1
MonteCarloControl,16,1
MonteCarloControl,17,2
MonteCarloControl,18,2
MonteCarloControl,19,2
MonteCarloControl,20,1
MonteCarloControl,21,2
MonteCarloControl,22,1
MonteCarloControl,23,2
MonteCarloControl,24,1
MonteCarloControl,25,1
MonteCarloControl,26,1
MonteCarloControl,27,1
MonteCarloControl,28,1
MonteCarloControl,29,1
MonteCarloControl,30,1
MonteCarloControl,31,1
MonteCarloControl,32,1
MonteCarloControl,33,1
MonteCarloControl,34,1
MonteCarloControl,35,2
MonteCarloControl,36,2
MonteCarloControl,37,0
MonteCarloControl,38,0
MonteCarloControl,39,0
MonteCarloControl,40,0
MonteCarloControl,41,0
MonteCarloControl,42,0
MonteCarloControl,43,0
MonteCarloControl,44,0
MonteCarloControl,45,0
MonteCarloControl,46,0
MonteCarloControl,47,0
