algorithm,state,action
QActorCritic,0,1
QActorCritic,1,1
QActorCritic,2,1
QActorCritic,3,1
QActorCritic,4,1
QActorCritic,5,1
QActorCritic,6,1
QActorCritic,7,1
QActorCritic,8,1
QActorCritic,9,1
QActorCritic,10,1
QActorCritic,11,2
QActorCritic,12,1
QActorCritic,13,1
QActorCritic,14,1
QActorCritic,15,1
QActorCritic,16,1
QActorCritic,17,1
QActorCritic,18,1
QActorCritic,19,1
QActorCritic,20,1
QActorCritic,21,1
QActorCritic,22,1
QActorCritic,23,2
QActorCritic,24,1
QActorCritic,25,1
QActorCritic,26,1
QActorCritic,27,1
QActorCritic,28,1
QActorCritic,29,1
QActorCritic,30,1
QActorCritic,31,1
QActorCritic,32,1
QActorCritic,33,1
QActorCritic,34,1
QActorCritic,35,2
QActorCritic,36,0
QActorCritic,37,1
QActorCritic,38,1
QActorCritic,39,1
QActorCritic,40,1
QActorCritic,41,1
QActorCritic,42,1
QActorCritic,43,1
QActorCritic,44,1
QActorCritic,45,1
QActorCritic,46,1
QActorCritic,47,1
