algorithm,state,action
QLearning,0,2
QLearning,1,1
QLearning,2,1
QLearning,3,2
QLearning,4,1
QLearning,5,1
QLearning,6,1
QLearning,7,1
QLearning,8,1
QLearning,9,1
QLearning,10,2
QLearning,11,1
QLearning,12,0
QLearning,13,1
QLearning,14,1
QLearning,15,0
QLearning,16,2
QLearning,17,1
QLearning,18,1
QLearning,19,1
QLearning,20,1
QLearning,21,2
QLearning,22,1
QLearning,23,2
QLearning,24,1
QLearning,25,1
QLearning,26,1
QLearning,27,1
QLearning,28,1
QLearning,29,1
QLearning,30,1
QLearning,31,1
QLearning,32,1
QLearning,33,1
QLearning,34,1
QLearning,35,2
QLearning,36,0
QLearning,37,0
QLearning,38,0
QLearning,39,0
QLearning,40,0
QLearning,41,0
QLearning,42,0
QLearning,43,0
QLearning,44,0
QLearning,45,0
QLearning,46,0
QLearning,47,0
