algorithm,state,action
SARSA,0,1
SARSA,1,1
SARSA,2,1
SARSA,3,1
SARSA,4,1
SARSA,5,2
SARSA,6,1
SARSA,7,1
SARSA,8,1
SARSA,9,1
SARSA,10,2
SARSA,11,2
SARSA,12,2
SARSA,13,1
SARSA,14,1
SARSA,15,1
SARSA,16,1
SARSA,17,1
SARSA,18,1
SARSA,19,1
SARSA,20,1
SARSA,21,1
SARSA,22,1
SARSA,23,2
SARSA,24,0
SARSA,25,0
SARSA,26,1
SARSA,27,3
SARSA,28,1
SARSA,29,0
SARSA,30,1
SARSA,31,1
SARSA,32,1
SARSA,33,1
SARSA,34,1
SARSA,35,2
SARSA,36,0
SARSA,37,0
SARSA,38,0
SARSA,39,0
SARSA,40,0
SARSA,41,0
SARSA,42,0
SARSA,43,0
SARSA,44,0
SARSA,45,0
SARSA,46,0
SARSA,47,0
