algorithm,state,action
QLearning,0,2
QLearning,1,1
QLearning,2,1
QLearning,3,2
QLearning,4,1
QLearning,5,1
QLearning,6,1
QLearning,7,1
QLearning,8,1
QLearning,9,1
QLearning,10,2
QLearning,11,1
QLearning,12,0
QLearning,13,1
QLearning,14,1
QLearning,15,0
QLearning,16,2
QLearning,17,1
QLearning,18,1
QLearning,19,1
QLearning,20,1
QLearning,21,2
QLearning,22,1
QLearning,23,2
QLearning,24,1
QLearning,25,1
QLearning,26,1
QLearning,27,1
QLearning,28,1
QLearning,29,1
QLearning,30,1
QLearning,31,1
QLearning,32,1
QLearning,33,1
QLearning,34,1
QLearning,35,2
QLearning,36,0
QLearning,37,0
QLearning,38,0
QLearning,39,0
QLearning,40,0
QLearning,41,0
QLearning,42,0
QLearning,43,0
QLearning,44,0
QLearning,45,0
QLearning,46,0
QLearning,47,0
SARSA,0,1
SARSA,1,1
SARSA,2,1
SARSA,3,1
SARSA,4,1
SARSA,5,2
SARSA,6,1
SARSA,7,1
SARSA,8,1
SARSA,9,1
SARSA,10,2
SARSA,11,2
SARSA,12,2
SARSA,13,1
SARSA,14,1
SARSA,15,1
SARSA,16,1
SARSA,17,1
SARSA,18,1
SARSA,19,1
SARSA,20,1
SARSA,21,1
SARSA,22,1
SARSA,23,2
SARSA,24,0
SARSA,25,0
SARSA,26,1
SARSA,27,3
SARSA,28,1
SARSA,29,0
SARSA,30,1
SARSA,31,1
SARSA,32,1
SARSA,33,1
SARSA,34,1
SARSA,35,2
SARSA,36,0
SARSA,37,0
SARSA,38,0
SARSA,39,0
SARSA,40,0
SARSA,41,0
SARSA,42,0
SARSA,43,0
SARSA,44,0
SARSA,45,0
SARSA,46,0
SARSA,47,0
ExpectedSARSA,0,1
ExpectedSARSA,1,1
ExpectedSARSA,2,1
ExpectedSARSA,3,1
ExpectedSARSA,4,1
ExpectedSARSA,5,1
ExpectedSARSA,6,1
ExpectedSARSA,7,1
ExpectedSARSA,8,1
ExpectedSARSA,9,1
ExpectedSARSA,10,1
ExpectedSARSA,11,2
ExpectedSARSA,12,1
ExpectedSARSA,13,1
ExpectedSARSA,14,1
ExpectedSARSA,15,1
ExpectedSARSA,16,1
ExpectedSARSA,17,1
ExpectedSARSA,18,1
ExpectedSARSA,19,1
ExpectedSARSA,20,1
ExpectedSARSA,21,1
ExpectedSARSA,22,1
ExpectedSARSA,23,2
ExpectedSARSA,24,0
ExpectedSARSA,25,0
ExpectedSARSA,26,0
ExpectedSARSA,27,0
ExpectedSARSA,28,0
ExpectedSARSA,29,0
ExpectedSARSA,30,0
ExpectedSARSA,31,1
ExpectedSARSA,32,1
ExpectedSARSA,33,1
ExpectedSARSA,34,1
ExpectedSARSA,35,2
ExpectedSARSA,36,0
ExpectedSARSA,37,0
ExpectedSARSA,38,0
